"Gene","Presence"
"AIPGENE12541",0
"AIPGENE12542",0
"AIPGENE12544",0
"AIPGENE12545",0
"AIPGENE12546",0
"AIPGENE12549",0
"AIPGENE1255",0
"AIPGENE12554",0
"AIPGENE12555",0
"AIPGENE12558",0
"AIPGENE12559",0
"AIPGENE1256",0
"AIPGENE12561",0
"AIPGENE12566",0
"AIPGENE12568",0
"AIPGENE12572",0
"AIPGENE12576",0
"AIPGENE12577",0
"AIPGENE12584",0
"AIPGENE1259",0
"AIPGENE12590",0
"AIPGENE12591",0
"AIPGENE12594",0
"AIPGENE12595",0
"AIPGENE12596",0
"AIPGENE12598",0
"AIPGENE126",0
"AIPGENE12600",0
"AIPGENE12602",0
"AIPGENE12604",0
"AIPGENE12605",0
"AIPGENE12608",0
"AIPGENE12609",0
"AIPGENE12610",0
"AIPGENE12611",0
"AIPGENE12614",0
"AIPGENE1262",0
"AIPGENE1263",0
"AIPGENE12631",0
"AIPGENE12633",0
"AIPGENE12634",0
"AIPGENE1264",0
"AIPGENE12640",0
"AIPGENE12645",0
"AIPGENE12647",0
"AIPGENE12649",0
"AIPGENE1265",0
"AIPGENE12650",0
"AIPGENE1266",0
"AIPGENE12661",0
"AIPGENE12664",0
"AIPGENE12665",0
"AIPGENE12668",0
"AIPGENE1267",0
"AIPGENE12672",0
"AIPGENE12674",0
"AIPGENE12678",0
"AIPGENE12679",0
"AIPGENE12680",0
"AIPGENE12681",0
"AIPGENE12682",0
"AIPGENE12683",0
"AIPGENE12684",0
"AIPGENE12685",0
"AIPGENE12686",0
"AIPGENE12688",0
"AIPGENE12689",0
"AIPGENE1269",0
"AIPGENE12690",0
"AIPGENE12691",0
"AIPGENE12692",0
"AIPGENE12694",0
"AIPGENE12697",0
"AIPGENE12698",0
"AIPGENE127",0
"AIPGENE1270",0
