"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.475967739768721 5 464 "GO:0006152;GO:0009164;GO:0072523;GO:0034656;GO:1901658;GO:1901136;GO:0006195;GO:0009166;GO:1901292;GO:0046434;GO:0009141;GO:0009143;GO:0009144;GO:0009146;GO:0009154;GO:0009261;GO:0009199;GO:0009203;GO:0009205;GO:0009207;GO:0042454;GO:0046130" "carbohydrate derivative catabolic process" 1
0 0.683571276842794 5 68 "GO:0006164;GO:0009152;GO:0009260;GO:0046390" "ribose phosphate biosynthetic process" 1
0 0.685104432414737 -1 11 "GO:0006165" "obsolete nucleoside diphosphate phosphorylation" 1
0 0.0552184484711549 -1 138 "GO:0006184;GO:0046039;GO:1901068;GO:1901069" "guanosine-containing compound metabolic process" 0.364291508630123
0 0.51506630496457 -1 269 "GO:0006200;GO:0009123;GO:0009125;GO:0009126;GO:0009128;GO:0009158;GO:0009161;GO:0009167;GO:0009169;GO:0046034" "nucleoside monophosphate metabolic process" 1
0 0.685104432414737 2 11 "GO:0006206" "pyrimidine nucleobase metabolic process" 1
0 0.516493058861777 2 17 "GO:0006213" "pyrimidine nucleoside metabolic process" 1
0 0.377849500831824 2 22 "GO:0006220;GO:0006221;GO:0072528" "pyrimidine nucleotide metabolic process" 0.87592384283741
0 0.986809669774667 2 599 "GO:0006259" "DNA metabolic process" 1
0 0.984307351220289 3 264 "GO:0006260" "DNA replication" 1
0 0.951736602225561 5 46 "GO:0006261" "DNA-templated DNA replication" 1
0 0.413696837736072 2 14 "GO:0006270" "DNA replication initiation" 0.916251094845033
0 0.816471788985972 2 43 "GO:0006275" "regulation of DNA replication" 1
0 0.976988671911389 5 168 "GO:0006278;GO:0071897" "DNA biosynthetic process" 1
0 0.932865971586721 4 243 "GO:0006281" "DNA repair" 1
0 0.212264358817127 2 24 "GO:0006282" "regulation of DNA repair" 0.712709688768538
0 1 5 18 "GO:0006284" "base-excision repair" 1
0 1 2 22 "GO:0006289" "nucleotide-excision repair" 1
0 1 2 13 "GO:0006298" "mismatch repair" 1
0 0.650202002592292 2 10 "GO:0006301" "postreplication repair" 1
0 0.592944974981146 2 62 "GO:0006302" "double-strand break repair" 1
0 0.609415678356375 2 31 "GO:0006304;GO:0006305;GO:0006306;GO:0044728" "DNA modification" 1
0 0.876898398006655 3 35 "GO:0006308" "DNA catabolic process" 1
0 0.718958014712112 4 158 "GO:0006310" "DNA recombination" 1
0 0.766159633521803 2 27 "GO:0006313;GO:0032196" "transposition" 1
0 0.520814707540017 4 310 "GO:0006325" "chromatin organization" 1
0 0.97735508787906 2 36 "GO:0006334;GO:0065004" "protein-DNA complex assembly" 1
0 0.262545425691706 2 10 "GO:0006337;GO:0032986" "nucleosome disassembly" 0.775865826132263
0 0.503057411065429 2 127 "GO:0006338" "chromatin remodeling" 1
0 0.267862347320876 2 867 "GO:0006351;GO:0032774" "RNA biosynthetic process" 0.778823188589358
0 0.98797594984335 2 42 "GO:0006352" "DNA-templated transcription initiation" 1
0 0.864247673556193 5 19 "GO:0006353" "DNA-templated transcription termination" 1
0 1 7 22 "GO:0006354;GO:0006368" "DNA-templated transcription elongation" 1
0 0.00161003981816353 8 1338 "GO:0006355;GO:2001141;GO:0051252;GO:2000112" "obsolete regulation of cellular macromolecule biosynthetic process" 0.0394564303490205
0 0.0438342250536407 2 440 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.337612990515184
0 1 6 10 "GO:0006360" "transcription by RNA polymerase I" 1
0 0.93541153771765 2 85 "GO:0006364;GO:0016072" "rRNA metabolic process" 1
0 0.257098609507755 6 97 "GO:0006366" "transcription by RNA polymerase II" 0.775865826132263
0 0.957373846544249 6 30 "GO:0006367" "transcription initiation at RNA polymerase II promoter" 1
0 0.685104432414737 3 11 "GO:0006376" "mRNA splice site recognition" 1
0 1 -1 13 "GO:0006378;GO:0043631" "obsolete mRNA polyadenylation" 1
0 1 5 12 "GO:0006383" "transcription by RNA polymerase III" 1
0 0.973931235396863 4 384 "GO:0006396" "RNA processing" 1
0 0.603129825050378 4 280 "GO:0006397;GO:0016071" "mRNA metabolic process" 1
0 0.555002232058118 4 70 "GO:0006399" "tRNA metabolic process" 1
0 0.377031001090568 4 13 "GO:0006400" "tRNA modification" 0.87592384283741
0 0.0548220057523888 4 65 "GO:0006401;GO:0006402;GO:0000956" "RNA catabolic process" 0.36425748188295
0 0.538489674286822 5 28 "GO:0006405;GO:0006406" "RNA export from nucleus" 1
0 0.971402267121117 3 202 "GO:0006412" "translation" 1
0 0.619307790821241 2 53 "GO:0006413" "translational initiation" 1
0 0.683373874500042 5 23 "GO:0006414" "translational elongation" 1
0 0.00389640763783397 7 159 "GO:0006417" "regulation of translation" 0.0750257266591092
0 0.683373874500042 4 23 "GO:0006418;GO:0043039;GO:0043038" "amino acid activation" 1
0 0.511040508099438 2 37 "GO:0006446" "regulation of translational initiation" 1
0 0.979412228904663 2 102 "GO:0006457" "protein folding" 1
0 0.187366948935248 2 73 "GO:0006469;GO:0033673;GO:0051348" "negative regulation of transferase activity" 0.683871243018981
0 0.0338390758831555 2 83 "GO:0006470" "protein dephosphorylation" 0.296996912518672
0 1 3 17 "GO:0006476;GO:0035601;GO:0098732;GO:0016575" "macromolecule deacylation" 1
0 0.153004068646769 4 53 "GO:0006479;GO:0008213" "protein methylation" 0.623582456882188
0 0.548007412059256 4 18 "GO:0006482;GO:0008214;GO:0016577" "protein dealkylation" 1
0 0.423945959307768 3 140 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.929135917786014
0 0.98797594984335 2 42 "GO:0006487" "protein N-linked glycosylation" 1
0 0.220007149645238 2 41 "GO:0006493" "protein O-linked glycosylation" 0.725792817098888
0 0.14026990745723 2 28 "GO:0006497" "protein lipidation" 0.594807450273692
0 0.516493058861777 6 17 "GO:0006505;GO:0006506;GO:0009247" "glycolipid biosynthetic process" 1
0 0.891430248250262 2 711 "GO:0006508" "proteolysis" 1
0 0.413696837736072 2 14 "GO:0006509;GO:0033619" "membrane protein proteolysis" 0.916251094845033
0 0.599067813726252 2 187 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in protein catabolic process" 1
0 0.683373874500042 5 23 "GO:0006513" "protein monoubiquitination" 1
0 0.650202002592292 5 10 "GO:0006515" "protein quality control for misfolded or incompletely synthesized proteins" 1
0 0.716528200496245 3 12 "GO:0006516" "glycoprotein catabolic process" 1
0 0.974007749281965 2 53 "GO:0006518" "peptide metabolic process" 1
0 0.994213713114619 3 245 "GO:0006520" "amino acid metabolic process" 1
0 0.770290618091127 2 14 "GO:0006525" "arginine metabolic process" 1
0 1 5 15 "GO:0006534" "cysteine metabolic process" 1
0 1 2 17 "GO:0006536" "glutamate metabolic process" 1
0 0.864247673556193 3 19 "GO:0006541" "glutamine metabolic process" 1
0 0.264378233281953 5 18 "GO:0006544" "glycine metabolic process" 0.775865826132263
0 0.727419002283368 3 25 "GO:0006555;GO:0009067;GO:0009086" "aspartate family amino acid biosynthetic process" 1
0 0.744819633780052 2 13 "GO:0006568;GO:0006569;GO:0042436;GO:0006586;GO:0046218" "L-tryptophan metabolic process" 1
0 0.984494861634643 3 106 "GO:0006575" "modified amino acid metabolic process" 1
