,MMblack,MMgreen,MMturquoise,MMyellow,MMpurple,MMred,MMmagenta,MMpink,MMblue,MMbrown
AIPGENE22346,0.0550554100461334,0.0158812532752225,0.0624818591431462,-0.0392158350284327,-0.131668895642901,-0.101270908373566,0.0900950361503005,0.0428684593168772,-0.00758682959159642,-0.102900529249269
AIPGENE22347,-0.490810044725889,-0.110755718749262,-0.0382719930213592,0.418757669791479,0.754219679391823,0.725092206734805,-0.456247484004932,-0.458621903437782,-0.0337695536787326,0.0229204520660121
AIPGENE22348,0.271721254846557,0.265142975607104,-0.00493234413359881,-0.128798493897136,-0.40357975363293,-0.449079163302781,0.380375459368959,0.409671204380704,0.0809022175035263,-0.126355865490346
AIPGENE22349,-0.666985189644977,-0.0594860834841289,-0.189499921677275,0.506959127826772,0.411289512030699,0.271788928204973,0.33992321966834,0.453941142545223,0.0827871247687242,0.0530622683253172
AIPGENE2235,0.0958278064423116,0.0397127812586123,-0.154416334424421,-0.335259899229417,-0.10055223382281,0.00198567975582516,-0.17162728606485,-0.122772842129341,0.0723961797547577,0.40193046776253
AIPGENE22350,-0.500262853958,-0.513092999950924,-0.243656496797843,0.27936648463267,0.0668213607690618,0.180845546522154,0.327950787627858,0.50307611915482,0.215235049941788,0.10244818758723
AIPGENE22351,0.169154037968287,0.137656097123977,0.277295225757791,0.0124449630741506,-0.206958447377629,-0.305964355706563,0.209816941236953,0.0279055666812487,-0.20654791892461,-0.240503165366451
AIPGENE22353,0.528131560608397,-0.117161192745642,0.164335001221195,-0.274682868063809,-0.470780892977097,-0.4093728423353,-0.0270238504919833,-0.171522964331679,-0.0495991288258536,-0.107901786669126
AIPGENE22354,0.286440554259422,0.239958879757967,0.50296927839168,0.0675709834691991,-0.074045052848413,-0.246936189818692,-0.0300400753679131,-0.420183038916809,-0.427631239478649,-0.386370163332258
AIPGENE22355,0.427649199182883,0.580265751980627,0.390873395692268,-0.148540761231768,-0.350367762918012,-0.523404109376866,0.241617502143863,0.026020887865635,-0.259106963492886,-0.426411083761486
AIPGENE2236,-0.00952975876810774,-0.377899286774716,-0.189662842726535,-0.139155827119609,-0.223309785906632,0.0292343935605479,0.134930652219025,0.262809546317006,0.264625104914123,-0.0144093734530063
AIPGENE22360,-0.248661875932365,0.038108662826664,0.330903541267535,0.289403916957894,0.4295257516737,0.234575182278943,-0.128286456794151,-0.310866061776503,-0.319395134488954,-0.274437324840425
AIPGENE22361,0.853579536611216,0.0927649066087176,0.194887192384101,-0.416047852196535,-0.395353257154031,-0.301233112448589,-0.47630330833329,-0.582116209432507,-0.0499340373074164,-0.254067785149382
AIPGENE22363,0.214958643918131,-0.192077316040386,-0.193565655282129,-0.148363843636627,-0.198594354631947,-0.0305554132538282,-0.0779597290199283,0.0251152498272769,0.252321755701921,-0.0685824137534461
AIPGENE22365,-0.0519909779163243,-0.479243106953068,-0.243906811428806,0.147524403372319,0.0609306057335231,0.157960620551498,0.0224208328321164,0.195971701390953,0.303284617764744,-0.0937153958741629
